Segment,카드이용한도금액,CA한도금액,이용건수_선결제_R3M,선입금원금_B2M,상환개월수_결제일_R3M,선입금원금_B5M,이용개월수_결제일_R6M
B,87861,38417,0,0,3,0,6
A,212152,62901,0,0,2,0,5
A,199120,58200,0,0,3,0,6
A,205730,64043,0,0,3,0,6
B,198927,53839,0,0,2,0,5
A,185251,49507,0,9258,1,8977,6
A,199547,55646,0,0,1,0,5
A,212130,65009,0,0,2,0,6
A,207551,57826,0,0,3,0,6
A,201021,58275,0,0,3,0,6
A,202763,56459,0,0,3,0,6
A,213373,62978,0,0,2,0,6
A,200318,59604,0,0,3,0,6
A,200238,57190,0,0,3,0,6
A,208844,58550,0,0,3,0,6
A,206065,56338,11,0,2,0,5
B,86653,30415,0,0,0,0,6
A,196787,55229,0,0,3,0,6
A,200022,53037,0,0,3,0,6
A,197564,59064,0,0,3,0,6
A,190045,55146,0,0,2,0,5
A,192872,56846,0,0,3,0,6
A,223871,64575,0,0,3,0,5
A,198590,54419,0,0,3,0,6
A,184893,52101,0,0,2,0,6
A,200919,60893,0,0,3,0,6
A,199894,55494,11,8770,1,0,6
A,201068,48604,0,0,3,10377,5
A,198096,60810,0,0,3,0,6
A,187911,44414,0,0,3,0,6
A,198271,57855,111,10349,1,9528,2
A,194425,55346,0,0,2,0,6
A,200932,58446,0,0,3,0,6
A,187003,55624,0,0,3,0,6
A,100029,36482,41,8065,2,8062,4
A,189528,51119,0,0,3,0,6
B,197559,44965,115,11736,0,10637,1
A,196433,61012,0,0,3,0,6
B,87472,37997,23,8956,2,9299,4
A,214265,61521,0,0,2,0,6
A,197183,60590,0,0,3,0,6
A,204952,52805,0,0,3,0,5
A,191668,55012,0,0,3,0,6
A,207577,62228,0,0,3,0,6
A,206863,61669,0,0,3,0,6
A,200281,52001,0,0,3,0,6
A,215674,62180,0,0,3,0,6
B,99983,36953,0,0,2,9239,5
A,196069,59342,24,10812,2,10545,4
A,205387,55428,0,0,3,7248,5
B,206931,56334,0,0,3,0,6
A,205348,55278,0,0,3,6547,6
A,200771,59912,0,0,3,0,6
A,213226,62680,0,0,3,0,6
A,205415,59163,0,0,3,0,6
A,189314,53850,0,0,2,0,6
A,190732,58148,23,0,2,0,5
A,206122,58163,0,0,3,0,6
A,193284,54465,0,0,3,0,6
A,192457,56642,0,0,3,0,6
A,208544,58740,0,0,3,0,6
A,197776,55902,111,9745,1,8641,4
A,193610,58719,0,0,3,0,6
A,203852,57265,0,0,3,0,6
A,195422,51332,0,0,2,0,5
B,99980,40412,0,0,3,0,6
A,211348,64614,0,0,3,0,6
A,193426,57129,0,0,1,0,6
B,51828,16307,115,14785,0,13160,0
A,208485,59355,0,0,1,0,6
A,212393,62461,0,0,3,0,6
A,210421,63040,0,0,3,0,6
B,87462,33858,111,11705,0,11414,5
A,196719,55812,0,0,3,0,6
A,205744,0,0,0,3,0,6
A,177834,43527,11,6116,1,6702,6
B,57884,26383,11,10495,1,0,1
A,187772,51610,0,0,3,0,6
A,191858,57356,0,0,3,0,6
A,212983,57577,0,0,3,0,6
A,220533,59102,0,0,3,0,6
A,192838,51598,0,0,3,0,6
A,196692,58325,0,0,3,0,6
A,197491,61297,42,6944,3,7193,5
A,183667,49883,0,0,3,0,6
A,193703,58191,0,0,3,0,6
A,189848,55525,0,0,3,0,6
A,192273,53772,0,0,2,0,6
A,187376,58039,0,0,3,0,6
A,190438,48630,0,0,2,0,6
A,197343,56129,0,0,3,0,6
A,198647,60070,0,0,3,0,6
A,226890,61941,0,0,3,0,6
B,87141,29457,0,0,3,0,6
A,215545,60085,0,0,3,0,6
A,208335,50840,0,0,2,0,6
A,187263,55262,0,0,3,0,6
A,207202,57616,0,0,3,0,6
A,87767,40374,0,0,3,0,6
A,208250,52711,0,0,3,0,6
A,208773,57680,0,0,3,0,6
A,201000,62665,0,0,3,0,6
A,227888,66104,0,0,3,0,6
A,199598,50755,0,0,2,0,5
A,189853,59577,0,0,3,11175,6
A,214808,63320,0,0,3,0,6
A,208111,59180,0,0,3,0,6
A,187308,50619,0,0,1,0,2
A,202874,56952,0,0,3,0,6
A,197555,0,0,0,2,0,6
A,198447,56442,0,0,3,0,6
A,224988,63253,0,0,3,0,6
A,195011,51994,0,0,3,0,1
B,87353,35268,0,7018,1,0,6
B,88930,32021,110,12698,0,12490,1
B,193362,60515,0,0,3,0,6
A,208156,62454,0,0,2,0,5
A,204535,60305,110,9738,1,7094,4
A,186951,50901,0,0,2,0,6
A,188211,46259,0,0,1,0,4
A,204583,55812,0,0,3,0,6
A,204906,60046,0,0,2,0,5
A,194219,56665,0,0,3,0,6
A,192822,45640,0,10535,1,9890,6
A,182444,54424,0,6022,2,0,6
A,199374,52842,0,0,3,0,4
A,201392,53036,0,0,3,0,6
A,55092,23020,0,0,0,0,0
A,86069,27987,0,0,0,0,0
A,203955,59883,0,0,3,0,6
B,91928,28327,112,15042,0,14091,3
A,217002,60382,0,0,3,0,6
B,88613,25754,112,15823,2,12622,5
A,205625,59450,0,0,3,0,6
A,199758,54325,0,0,3,0,6
A,202952,57692,0,0,3,0,6
A,192080,52436,113,7236,1,13580,5
A,193799,45726,0,0,3,0,6
A,189905,41176,0,0,3,0,6
A,193894,48560,70,8570,0,10181,5
A,205893,56326,23,7983,2,0,5
A,180213,54329,0,0,3,0,6
A,197545,50214,0,0,3,0,6
A,199445,48334,0,0,2,0,6
A,183999,49310,0,0,2,0,6
A,190333,58473,113,8459,2,0,6
B,202870,55667,0,0,3,0,5
B,201998,60243,0,0,3,0,6
A,204449,60825,0,0,3,0,6
B,182567,0,181,13080,1,11924,3
A,198833,51831,0,0,3,0,6
A,198185,54806,0,0,3,0,6
A,202491,59036,0,0,3,0,6
A,213117,59407,0,0,3,0,6
A,200226,58548,0,0,3,0,6
A,190574,57242,0,0,3,0,6
A,178009,51045,0,0,3,0,6
A,196496,55282,0,0,3,0,6
A,193977,51984,0,0,3,0,6
A,203953,59926,0,6245,2,0,6
A,189578,53392,0,0,3,0,6
A,204989,59725,0,0,3,0,6
A,203221,61179,0,0,3,0,6
A,212769,60514,0,0,3,0,6
A,221885,59424,0,0,3,0,6
A,213269,61747,0,0,3,0,6
A,210025,58196,0,0,3,0,6
A,204543,54746,0,0,3,0,6
A,212709,61342,0,0,3,0,6
A,204057,56694,111,10873,0,9856,2
B,82851,26947,0,0,3,0,6
B,175130,40421,117,9422,0,10323,1
A,173405,48600,0,0,3,0,6
A,199640,57420,0,0,3,0,6
A,195361,58437,0,0,3,0,6
A,212639,64451,0,0,3,0,6
A,199959,57198,0,0,3,0,6
A,195486,56954,0,0,3,0,6
A,195540,51414,0,0,3,0,6
B,199093,58920,0,0,3,0,6
B,86203,31934,0,0,3,0,6
A,195426,59325,0,0,3,0,6
A,191543,55048,0,0,3,0,6
A,199595,57447,0,0,3,0,6
A,209623,60540,0,0,3,0,6
A,207265,61727,0,0,3,0,6
B,84506,38946,0,0,3,0,6
A,217619,61841,0,0,2,0,5
A,196358,57222,0,0,3,0,6
A,217269,62683,0,0,3,0,6
B,210337,55450,0,0,3,0,5
A,188808,49218,0,9347,1,11187,6
A,204781,56836,0,0,1,0,5
A,209651,63520,0,0,3,0,6
A,203737,59207,0,0,3,0,6
A,198405,53973,0,0,3,0,6
A,217715,51462,0,0,3,0,6
A,209895,64017,0,0,1,0,6
A,211809,64684,0,0,3,0,6
A,208506,57594,0,0,3,0,6
A,215516,63097,0,0,3,0,6
A,214674,59737,11,7441,1,0,5
B,86194,29277,0,0,0,7098,6
A,206464,56015,0,0,3,0,6
A,187089,51258,0,0,3,0,6
A,190037,59330,0,0,3,0,6
A,197367,58792,0,0,3,0,5
A,190458,57042,0,0,3,0,6
A,206677,64260,0,0,3,0,6
A,196842,53913,0,0,3,0,6
A,182582,54229,0,0,2,0,6
A,204006,60943,0,0,3,0,6
A,209764,54695,0,0,1,0,6
A,209470,54557,0,0,3,11679,5
A,205296,60662,0,0,3,0,6
A,186840,47370,0,0,3,0,6
A,193762,55652,195,10590,1,12206,3
A,186350,51574,0,0,2,0,6
A,201396,58357,0,0,3,0,6
A,187357,51977,0,0,3,0,6
A,100026,38882,41,6951,2,6747,3
A,194787,51160,0,0,3,0,6
B,198049,47817,120,12883,0,13499,0
A,199851,61673,0,0,3,0,6
B,87504,37983,24,13040,1,0,5
A,216445,60837,0,0,3,0,6
A,200450,61377,0,0,3,0,6
A,213225,55943,0,0,3,0,5
A,191037,52319,0,0,3,0,6
A,205620,57553,0,0,3,0,6
A,209666,59432,0,0,3,0,6
A,195587,46369,0,0,3,0,6
A,215462,62352,0,0,3,0,6
B,100027,34933,0,0,1,0,5
A,205368,62376,23,10365,1,0,4
A,211608,59764,0,0,3,0,5
B,205400,54282,0,0,3,0,6
A,197557,54396,0,0,3,0,6
A,201967,61467,0,0,3,0,6
A,208878,62622,0,0,3,0,6
A,206689,58948,0,0,3,0,6
A,188250,52818,0,0,2,0,6
A,191669,57559,24,8919,2,0,5
A,209900,60718,0,0,3,0,6
A,185860,51867,0,0,3,0,6
A,191408,57969,0,0,3,0,6
A,201189,53154,0,0,3,0,6
A,181622,47042,111,9247,1,8961,4
A,192490,56518,0,0,3,0,6
A,205639,57718,0,0,3,0,6
A,197214,56598,0,0,3,0,5
B,99954,37670,0,0,3,0,6
A,194801,56679,0,0,3,0,6
A,187796,55721,0,0,1,0,6
B,54615,20209,115,16313,0,14594,0
A,231058,63604,0,0,1,0,6
A,211260,63140,0,0,3,0,6
A,191706,55734,0,0,3,0,6
B,87651,29663,109,14858,0,11094,4
A,188374,51528,0,0,3,0,6
A,213906,0,0,0,3,0,6
A,178808,47349,0,5916,2,6344,6
B,56794,21627,41,11771,1,11361,3
A,194331,58327,0,0,3,0,6
A,193187,58925,0,0,3,0,6
A,217163,59388,0,0,3,0,6
A,198920,54409,0,0,3,0,6
A,200296,56382,0,0,3,0,6
A,193237,54565,0,0,3,0,6
A,204045,62902,0,7713,2,7111,5
A,182270,48877,0,0,3,0,6
A,195494,58469,0,0,3,0,6
A,185864,52604,0,0,3,0,6
A,194587,57423,0,0,2,0,6
A,197601,55140,0,0,3,0,6
A,190829,53562,0,0,2,0,6
A,194269,55753,0,0,3,0,6
A,202775,62793,0,0,3,0,6
A,207741,60461,0,0,3,0,6
B,85090,27958,0,0,3,0,6
A,218037,62035,0,0,3,0,6
A,199357,51074,0,0,2,0,6
A,186159,55971,0,0,3,0,6
A,199131,57295,0,0,3,0,6
A,86845,35706,0,0,3,0,6
A,198774,58074,0,0,3,0,6
A,224656,61002,0,0,3,0,6
A,209377,58371,0,0,3,0,6
A,220629,65990,0,0,3,0,6
A,201943,55010,0,0,3,0,5
A,203171,60746,0,0,3,0,6
A,205192,60963,0,0,3,0,6
A,201636,58883,0,0,3,0,6
A,188525,48931,0,0,2,0,2
A,196194,57305,0,0,3,0,6
A,206591,0,0,0,2,0,6
A,196682,53423,0,0,3,0,6
A,231944,64547,0,0,3,0,6
A,196581,53993,0,0,3,0,1
B,86221,35228,0,7377,1,0,6
B,87112,35681,0,10707,0,10985,0
B,188934,59545,0,0,3,0,6
A,193007,57065,0,0,2,0,6
A,220056,63004,0,10134,0,7053,2
A,183546,51005,0,0,2,0,6
A,198020,49588,0,0,1,0,5
A,210446,58728,0,0,3,0,6
A,206260,58762,0,0,2,0,5
A,205682,64135,0,0,3,0,6
A,206335,41088,0,8851,1,9465,6
A,172609,52927,0,0,2,0,6
A,201422,58111,0,0,3,0,4
A,202107,55243,0,0,3,0,6
A,54209,21568,0,0,0,8293,0
A,86638,31810,0,0,0,0,0
A,203370,62305,0,0,3,0,6
B,94935,33503,53,13396,0,17891,4
A,213377,58307,0,0,3,0,6
B,89241,30733,53,13401,0,14117,5
A,210694,57746,0,0,3,0,6
A,196282,58326,0,0,3,0,6
A,211850,57849,0,0,3,0,6
A,205526,57377,0,7194,2,7559,4
A,185887,50424,0,0,3,0,6
A,206524,51512,0,0,3,0,6
A,191743,46949,0,11250,1,9708,1
A,204155,56984,0,7569,1,0,5
A,194440,59550,0,0,3,0,6
A,201087,51331,0,0,3,0,6
A,196248,53614,0,0,2,0,6
A,199523,53277,0,0,2,0,6
A,201904,61279,0,7209,1,7050,6
B,205511,57418,0,0,3,0,6
B,191266,57374,0,0,3,0,6
A,208638,61941,0,0,3,0,6
B,190884,0,0,9092,1,10695,2
A,202017,57362,0,0,3,0,6
A,199974,53025,0,0,3,0,6
A,202077,54954,0,0,3,0,6
A,210974,60679,0,0,3,0,6
A,203017,56828,0,0,3,0,6
A,190583,59234,0,0,3,0,6
A,186913,46265,0,0,3,0,6
A,198304,61352,0,0,3,0,6
A,197565,58571,0,0,3,0,6
A,203947,60767,0,0,2,0,6
A,184999,57572,0,0,3,0,6
A,215987,60862,0,0,3,0,6
A,205892,61035,0,0,3,0,6
A,198869,61508,0,0,3,0,6
A,206089,61067,0,0,3,0,6
A,212761,61458,0,0,2,9040,6
A,202013,56058,0,0,3,0,6
A,213988,56974,0,0,3,0,6
A,220166,62166,0,0,3,0,6
A,202880,56199,0,11632,0,11429,3
B,82537,27659,0,0,3,0,6
B,189693,46749,137,8980,0,9865,0
A,174053,54678,0,0,3,0,6
A,200563,59668,0,0,3,0,6
A,191780,56440,0,0,3,0,6
A,216801,63090,0,0,3,0,6
A,209482,58853,0,0,3,0,6
A,204057,61459,0,0,3,0,6
A,209007,55009,0,0,3,0,6
B,198385,59172,0,0,3,0,6
B,84600,36435,0,0,3,0,6
A,198461,52977,0,0,3,0,6
A,191902,59706,0,0,3,0,6
A,198800,58240,0,0,3,0,6
A,210023,61233,0,0,3,0,6
A,205220,62233,0,0,3,0,6
B,85561,39661,0,0,3,0,6
A,207683,59478,0,0,2,0,5
A,194964,55338,0,0,3,0,6
A,206137,61309,0,0,3,0,6
B,195195,55634,0,0,3,8465,5
A,190735,50520,0,0,1,9202,6
A,201275,55697,0,0,1,0,5
A,207208,63882,0,0,3,0,6
A,215062,61791,0,0,3,0,6
A,200017,53338,0,0,3,0,6
A,205963,54619,0,0,3,0,6
A,212106,63953,0,0,1,0,6
A,204719,63579,0,0,3,0,6
A,203222,58478,0,0,3,0,6
A,202642,58444,0,0,3,0,6
A,218050,61877,0,5930,1,0,5
B,90001,34687,0,0,0,0,6
A,202428,57865,0,0,3,0,6
A,203499,54646,0,0,3,0,6
A,190068,58160,0,0,3,0,6
A,206842,58574,0,0,3,5234,5
A,190704,63230,0,0,3,0,6
A,203158,60050,0,0,3,0,6
A,203415,55399,0,0,3,0,6
A,180340,53069,0,0,2,0,6
A,204901,62266,0,0,3,0,6
A,218387,55640,0,9131,1,7601,6
A,218974,58354,0,0,3,10390,5
A,198735,58354,0,0,3,0,6
A,85228,45215,0,0,3,0,6
A,196083,54138,0,9852,1,9518,3
A,202108,54598,0,0,2,0,6
A,204743,57782,0,0,3,0,6
A,189812,57781,0,0,3,0,6
A,100015,37293,0,7386,1,8530,4
A,191359,51828,0,0,3,0,6
B,202909,51076,221,11068,0,10684,1
A,198876,64271,0,0,3,0,6
B,87617,39260,0,8926,1,0,3
A,206083,59351,0,0,2,0,6
A,201488,58858,0,0,3,0,6
A,207067,55206,0,0,3,0,5
A,194660,54740,0,0,3,0,6
A,209304,59634,0,0,3,0,6
A,200235,57312,0,0,3,0,6
A,205614,56422,0,0,3,0,6
A,212619,62501,0,0,3,0,6
B,99975,39142,0,0,1,0,5
A,205144,65975,0,9743,1,0,4
A,203204,59583,0,0,3,0,6
B,208780,54988,0,0,3,0,6
A,203554,55514,0,0,3,0,6
A,211738,62080,0,0,3,0,6
A,214269,66806,0,0,3,0,6
A,205658,58708,0,0,3,0,6
A,184638,52764,0,0,2,0,6
A,189154,54170,0,0,2,0,5
A,203236,56125,0,0,3,0,6
A,187147,55047,0,0,3,0,6
A,192828,58189,0,0,3,0,6
A,200429,53401,0,0,3,0,6
A,177164,53084,0,8502,1,7905,2
A,190241,59229,0,0,3,0,6
A,207569,57352,0,0,3,0,6
A,191425,54637,0,0,3,8217,5
B,99971,41126,0,0,3,0,6
A,196498,61198,0,0,3,0,6
A,197743,58486,0,0,1,0,6
B,53872,18523,163,12364,0,14307,0
A,219816,63662,0,0,1,0,6
A,213118,61220,0,0,3,0,6
A,190745,58530,0,0,3,0,6
B,86196,28971,0,11658,0,11432,0
A,203058,58106,0,0,3,0,6
A,217028,0,0,0,3,0,6
A,187090,51374,0,5913,2,6452,6
B,57158,21721,0,8254,1,0,2
A,210351,61440,0,0,3,0,6
A,202844,54946,0,0,3,0,6
A,205333,61378,0,0,3,0,6
A,207605,54868,0,0,3,0,6
A,200218,58180,0,0,3,0,6
A,196832,59367,0,0,3,0,6
A,200416,63893,0,6363,2,7413,5
A,179067,52784,0,0,3,0,6
A,198541,57890,0,0,3,0,6
A,185428,60912,0,0,3,0,6
A,194904,55941,0,0,2,0,6
A,193274,53742,0,0,3,0,6
A,209573,58691,0,0,2,0,6
A,193536,56999,0,0,3,0,6
A,198465,58736,0,0,3,0,6
A,216755,62278,0,0,3,0,6
B,84902,29659,0,0,3,0,6
A,214689,60712,0,0,3,0,6
A,191994,48749,0,0,2,0,6
A,184867,54396,0,0,3,0,6
A,208389,57280,0,0,3,0,6
A,87261,39768,0,0,3,0,6
A,210745,55630,0,0,3,0,6
A,203944,56265,0,0,3,0,6
A,204046,58441,0,0,3,0,6
A,217675,64586,0,0,3,0,6
A,197621,49573,0,0,3,10891,5
A,198346,60749,0,0,3,0,6
A,215940,63901,0,0,3,0,6
A,210439,61015,0,0,3,0,6
A,189526,49481,0,0,3,0,1
A,199658,57076,0,0,3,0,6
A,203504,0,0,0,2,0,6
A,195673,58456,0,0,3,0,6
A,241574,64404,0,0,3,0,6
A,195503,55398,0,0,2,0,1
B,85491,35472,0,0,1,0,6
B,90413,41488,0,12967,0,11526,0
B,199071,63073,0,0,3,0,6
A,197236,58201,0,0,3,0,6
A,210111,62291,53,9592,1,7540,4
A,193029,54230,0,0,2,0,6
A,187386,44759,0,0,2,0,4
A,203671,54808,0,0,3,0,6
A,207824,59782,0,0,2,0,5
A,199965,62310,0,0,3,0,6
A,187073,54838,0,11877,1,8680,6
A,184421,56300,0,0,2,8060,6
A,214073,61575,0,0,3,0,5
A,207543,59899,0,0,3,0,6
A,52204,17712,0,0,0,10106,0
A,87282,33060,0,0,0,0,4
A,195534,61146,0,0,3,0,6
B,90119,37120,53,17745,0,12298,3
A,227144,63912,0,0,3,0,6
B,85530,27124,107,14990,1,14246,5
A,212909,59603,0,0,3,0,6
A,212204,59009,0,0,3,0,6
A,206223,58706,0,0,3,0,6
A,195492,55024,0,4370,1,6667,2
A,198165,50228,0,0,3,0,6
A,189747,46964,0,0,2,0,5
A,87372,42138,0,10346,0,9461,2
A,201404,54387,0,0,1,0,5
A,194775,59089,0,0,3,0,6
A,195313,51415,0,0,3,0,6
A,192985,55986,0,0,3,0,6
A,198290,52548,0,0,2,0,6
A,202491,62977,0,4680,2,6924,6
B,201878,61331,0,0,3,0,6
B,190787,57278,0,0,3,0,6
A,205329,62960,0,0,3,0,6
B,187501,0,0,8407,1,12523,2
A,199233,56021,0,0,3,0,6
A,207043,57106,0,0,3,0,6
A,199036,52472,0,0,3,0,6
A,210781,60332,0,0,3,0,6
A,187597,51296,0,0,3,0,6
A,193642,56638,0,0,3,0,6
A,188154,49363,0,0,3,0,6
A,205144,60374,0,0,3,0,6
A,190882,56811,0,0,3,0,6
A,198221,58637,0,0,2,0,6
A,186599,55633,0,0,3,0,6
A,208182,57444,0,0,3,0,6
A,195483,53567,0,0,3,0,6
A,194356,57081,0,0,3,0,6
A,210661,62163,0,0,3,0,6
A,214673,66310,0,0,3,6670,6
A,199122,60255,0,0,3,0,6
A,197954,56874,0,0,3,0,6
A,212612,59690,0,0,3,0,6
A,221193,60365,0,10912,1,12704,3
B,82499,28960,0,0,3,0,6
B,194448,49394,137,8261,0,12185,0
A,178230,53765,0,0,3,0,6
A,203807,61555,0,0,3,0,6
A,194477,57222,0,0,3,0,6
A,221046,62844,0,0,3,0,6
A,198282,58690,0,0,3,0,6
A,200018,60046,0,0,3,0,6
A,202490,55215,0,0,3,0,6
B,198383,60677,0,0,3,0,6
B,89598,40417,0,0,3,0,6
A,206611,56345,0,0,3,0,6
A,192583,59393,0,0,3,0,6
A,188540,54549,0,0,3,0,6
A,215690,64962,0,0,3,0,6
A,200268,60185,0,0,3,0,6
B,87216,40871,0,0,3,0,6
A,214833,59278,0,0,2,0,5
A,202612,59546,0,0,3,0,6
A,200305,61728,0,0,3,0,6
B,203789,53335,0,0,3,0,6
A,196129,53874,0,7811,2,8600,6
A,199676,55251,0,0,1,0,6
A,209064,61574,0,0,3,0,6
A,216204,61462,0,0,3,0,6
A,207729,59291,0,0,3,0,6
A,193602,61170,0,0,3,0,6
A,215736,64071,0,0,2,0,6
A,219557,64701,0,0,3,0,6
A,207242,57850,0,0,3,0,6
A,198027,57390,0,0,3,0,6
A,212518,59808,0,0,2,0,5
B,86834,32127,0,0,0,0,6
A,201849,58787,0,0,3,0,6
A,205702,51845,0,0,3,0,6
A,201426,59459,0,0,3,0,6
A,185843,54079,0,0,3,7086,6
A,194336,57799,0,0,3,0,6
A,208762,59653,0,0,3,0,6
A,189240,56030,0,0,3,0,6
A,188468,52647,0,0,3,0,6
A,202779,60068,0,0,3,0,6
A,193811,49448,0,0,1,8643,6
A,219375,61403,0,0,3,10121,6
A,197706,56901,0,0,3,0,6
A,190901,46378,0,0,3,0,6
A,195318,59434,0,12432,1,9268,2
A,201876,56641,0,0,3,0,6
A,188508,55094,0,0,3,0,6
A,190765,56854,0,0,3,0,6
A,100022,42355,0,9310,1,6094,3
A,201169,54933,0,0,3,0,6
B,194202,49198,144,8716,0,13577,0
A,201224,66160,0,0,3,0,6
B,86963,36110,0,6513,1,0,3
A,206326,57885,0,0,2,0,6
A,202947,60501,0,0,3,0,6
A,208548,57534,0,0,3,0,5
A,184114,57666,0,0,3,0,6
A,209400,58805,0,0,3,0,6
A,203204,59236,0,0,3,0,6
A,196741,54134,0,0,3,0,6
A,215816,62783,0,0,3,0,6
B,100030,40944,0,0,1,0,4
A,211870,65298,0,10313,1,9165,5
A,210430,55779,0,0,3,0,6
B,211433,58512,0,0,3,0,6
A,199152,55633,0,0,3,0,6
A,193176,63371,0,0,3,0,6
A,216820,65390,0,0,3,0,6
A,208585,60093,0,0,3,0,6
A,192238,59906,0,0,2,0,6
A,188132,52002,0,0,3,0,5
A,208555,59198,0,0,3,0,6
A,181757,54072,0,0,3,0,6
A,188143,58712,0,0,3,0,6
A,212726,55150,0,0,3,0,6
A,188018,51522,0,8021,1,9655,3
A,200362,56771,0,0,3,0,6
A,207084,58197,0,0,3,0,6
A,199427,56176,0,0,3,8435,5
B,99958,40801,0,0,3,0,6
A,194606,57449,0,0,3,0,6
A,196357,59261,0,0,1,0,6
B,51825,17714,161,12946,0,13831,0
A,210615,58590,0,0,1,0,6
A,206279,58846,0,0,3,0,6
A,194282,58182,0,0,3,0,6
B,86156,25476,0,11942,0,12024,0
A,203280,55689,0,0,3,0,6
A,226726,0,0,0,3,0,6
A,186503,50479,0,5759,3,7243,6
B,57079,24664,0,6917,1,0,3
A,202621,58109,0,0,3,0,6
A,181936,54095,0,0,3,0,6
A,215143,59595,0,0,3,0,6
A,213287,59094,0,0,3,0,6
A,200707,54890,0,0,3,0,6
A,191624,57864,0,0,3,0,6
A,195262,61146,0,6321,2,7014,4
A,178756,54482,0,0,3,0,6
A,193465,55193,0,0,3,0,6
A,172470,53304,0,0,3,0,6
A,200355,59016,0,0,3,0,6
A,190100,59085,0,0,3,0,6
A,195754,55187,0,0,2,0,6
A,205739,59224,0,0,3,0,6
A,199011,60948,0,0,3,0,6
