,a,b,ab
이용금액_일시불_B0M,0.07154276715449602,0.02433377855182587,0.07551248019554373
이용금액_R3M_신용체크,0.07044194409775258,0.024776654034821956,0.07464421685661787
납부_기타이용금액,0.06810305599270285,0.02474612197563325,0.07245039909663586
이용금액_일시불_R3M,0.06790229245996537,0.023208470406158095,0.07171057695743031
_3순위여유업종_이용금액,0.06395446535761656,0.026272518727745265,0.06912699258262765
_1순위쇼핑업종_이용금액,0.06063385570124915,0.030450851004887033,0.06752912424603132
이용금액_일시불_R6M,0.06578979133193777,0.022573740553952164,0.0695109644425283
이용금액_해외,0.0664921154905483,0.020219326129141586,0.06932053076820717
평잔_일시불_해외_3M,0.0656589479461969,0.020819128451865763,0.06875844738377997
이용금액_온라인_R6M,0.05858049702795299,0.02988770740418597,0.06541042821925949
이용금액_온라인_B0M,0.057429185187761744,0.030797213478671266,0.06466269709129112
이용금액_할부_무이자_R6M,0.05404721629384268,0.035518299925103705,0.06320256567455997
잔액_할부_B0M,0.0550571691639821,0.03389634079228668,0.06356239612557546
쇼핑_온라인_이용금액,0.05733568975911487,0.02953377385741963,0.0641215064078279
월중평잔_일시불_B0M,0.06342756540014384,0.0202164079820951,0.0664593851186841
이용금액_CA_R12M,0.05738222981389026,0.028613586062447332,0.06383433334860585
평잔_CA_6M,0.05707516096383746,0.02657814042838612,0.06281644897127887
이용금액_온라인_R3M,0.0549813739659358,0.028770549211455988,0.06165004596285386
포인트_마일리지_월적립_R3M,0.06767276038112871,0.009773596634125,0.06666943148448956
할부건수_무이자_3M_R12M,0.048356505632791584,0.03689016376880994,0.05838440128413713
_1순위여유업종_이용금액,0.05771158159278871,0.023467348798489152,0.06229275480014511
평잔_CA_3M,0.05574995974119583,0.02609480565478596,0.06140600501706352
최대이용금액_할부_무이자_R12M,0.054332017086232164,0.028024359198484217,0.0607759175659476
평잔_할부_6M,0.05776206585172853,0.022879434629873536,0.06212864319413858
마일_잔여포인트_B0M,0.06715417421248096,0.00863419783396506,0.06577607599147682
카드이용한도금액_B2M,0.06461805635411919,0.012106236687912672,0.06465660223646183
카드이용한도금액_B1M,0.0641640626059937,0.012079943900537796,0.06422345033082394
카드이용한도금액,0.0632425448770281,0.012467207132957745,0.06350254932461841
이용금액_CA_R6M,0.052707561723788106,0.02708433720801648,0.05892210422823487
이용금액_할부_무이자_R3M,0.047390997887514115,0.03368530424629685,0.056331855104733104
평잔_할부_3M,0.0543478585502867,0.023452461418827363,0.059148095314733674
최대이용금액_할부_R12M,0.05195438487722137,0.02656655005076463,0.058033143609646703
이용금액_페이_온라인_R6M,0.05323634185384032,0.024580141788598468,0.05851589077521695
월중평잔_일시불,0.057359490178012895,0.017687489820458775,0.059887546112005995
포인트_마일리지_월적립_B0M,0.06285229783325767,0.009069181837044797,0.06191748381168097
월중평잔_CA,0.05123173309135265,0.02559652506226173,0.05701019002579901
최대이용금액_CA_R12M,0.05057282478877557,0.026443412999615404,0.05669951384936523
_3순위쇼핑업종_이용금액,0.05311092054331887,0.022345775748909787,0.05759606644362697
잔액_일시불_B0M,0.05447524137044547,0.019370517306907514,0.05780040509146511
혜택수혜금액_R3M,0.05516482531142114,0.01827637971071892,0.058050877676010394
월중평잔,0.051753969535125614,0.02296615141131726,0.056552535711242274
이용건수_할부_무이자_R12M,0.04426528159022676,0.03304803768539834,0.053185713143918005
월중평잔_CA_B0M,0.04949592399436257,0.025174441534332716,0.055238538646278416
마일_적립포인트_R12M,0.05070831604616706,0.0223334544653497,0.05534932598908515
잔액_현금서비스_B2M,0.047889933651483294,0.026043040964644718,0.0540517660260992
월중평잔_할부_B0M,0.049231082760941916,0.023741719429122687,0.054476613191555084
월중평잔_할부,0.04900881229531098,0.023540772609773487,0.054196974752689066
이용금액_페이_온라인_R3M,0.04834890492856396,0.024475024474787416,0.05391675457152108
잔액_현금서비스_B1M,0.047571225603413314,0.025227373586866268,0.053461265008643406
포인트_마일리지_건별_R3M,0.05045510864268008,0.020923917151604143,0.05460658811795408
잔액_할부_B1M,0.04800661157128073,0.024066005278044856,0.053450343678869916
잔액_할부_B2M,0.04844759005694328,0.022906871507124837,0.05344544459177827
이용금액_페이_온라인_B0M,0.04680896856719381,0.02508386453217185,0.05269830188772761
할부금액_무이자_6M_R12M,0.048028198007138194,0.022965195931212705,0.05307498747303827
이용금액_CA_R3M,0.046441759001271,0.02465828732963287,0.05220268806673448
이용금액_할부_무이자_B0M,0.041739985116173314,0.03130750208093745,0.050203547498244454
마일_이용포인트_R3M,0.048848246849362356,0.02087812287012225,0.05309047573166364
포인트_마일리지_건별_B0M,0.04918564578537409,0.02037096354039505,0.0532231510275055
혜택수혜금액,0.05112805879674083,0.016979441280818904,0.05381745750355599
마일_이용포인트_R12M,0.04855822369046106,0.02048273046039571,0.052677743684802866
이용건수_오프라인_R6M,0.04882771209626158,0.019644733393148782,0.052628174635516896
CA한도금액,0.05437456837134391,0.011609635904669902,0.054918092908685844
평잔_일시불_3M,0.05131762741985061,0.014803671829815339,0.05321266118577265
여유_항공이용금액,0.04490043730167473,0.023716662246611092,0.05042588612645462
이용금액_할부_R6M,0.04205893308665385,0.02718472411012395,0.04901997114086143
평잔_일시불_6M,0.05221430339951392,0.012695968078893605,0.05329225210299277
쇼핑_백화점_이용금액,0.048967129410217185,0.017304885034814612,0.05191762205358029
평잔_6M,0.047258064541372165,0.019620265872604885,0.05115445607300964
잔액_현금서비스_B0M,0.044499505940399815,0.023250273217843183,0.049884137264848576
할부건수_3M_R12M,0.03882785721756329,0.030450211180840955,0.047177693200672645
이용건수_할부_무이자_R6M,0.03870996301562056,0.029657470758579482,0.04678284591419054
할부금액_6M_R12M,0.04400617708084304,0.020568130921617522,0.04846007194447329
평잔_3M,0.044835530818146625,0.019346811358840043,0.04879529515282549
여유_운동이용금액,0.046620634394694035,0.015933442635347975,0.04923493809486852
이용건수_오프라인_R3M,0.04482779804246165,0.017683395704162375,0.04819044068962341
이용금액_CA_B0M,0.04103191874509509,0.021946199545591374,0.04617935977520299
이용건수_할부_R12M,0.03658375544767325,0.027728180385497132,0.04410532732339793
이용건수_할부_무이자_R3M,0.0362777568764583,0.028156472649113695,0.04397362187708987
잔액_일시불_B1M,0.04513177182475127,0.014778075583018708,0.04743030151384781
이용건수_할부_무이자_B0M,0.035602261004007374,0.027972225531884016,0.04327699510017546
이용금액_간편결제_R6M,0.038816170288668045,0.022733152039463106,0.04439417495069012
이용금액_간편결제_B0M,0.037839173962762124,0.0235248541861883,0.04376680480426774
이용건수_오프라인_B0M,0.04263556218130232,0.016654626736727875,0.045774841279847316
이용금액_할부_R3M,0.03637704525946585,0.02536382371795601,0.043062933868419896
쇼핑_마트_이용금액,0.04221195573586433,0.016875843037479722,0.045458975273338656
잔액_일시불_B2M,0.04374128567053513,0.014163142220229918,0.04591164695789066
이용건수_온라인_R6M,0.03821579334056114,0.02198442106678739,0.04356484584192782
이용금액_R3M_신용_가족,0.044066715440646616,0.01262509242620772,0.04566276981549042
이용금액_간편결제_R3M,0.03690479488934088,0.022611347034405944,0.04256655533607073
이용가맹점수,0.040807202745734114,0.016551993898993103,0.044031587421307986
쇼핑_슈퍼마켓_이용금액,0.04104942141104434,0.01575796816409263,0.04397236611343097
이용건수_신용_R12M,0.04043431756425864,0.01652953919515611,0.04367551184621639
이용건수_신판_R12M,0.03998065717744979,0.016257769857529164,0.04315447541914499
이용건수_온라인_R3M,0.03684353688775045,0.020574745460501774,0.04177766711232216
이용건수_신용_R6M,0.03924850450332738,0.01608050349750101,0.04240747979538167
이용건수_신용_B0M,0.0393587561778556,0.015884208021445727,0.04243985027795406
이용건수_신용_R3M,0.03921792485470174,0.01584772155411449,0.042295305600965366
이용건수_할부_R6M,0.03262401769103684,0.025127325309521192,0.03947532133194244
이용건수_일시불_R12M,0.03925350056734542,0.015594354402500687,0.042237477259168404
이용건수_신판_R6M,0.038786378755258,0.01581154519212263,0.04187955273469931
이용건수_신판_B0M,0.03889451141900105,0.015607411365552671,0.041907129388281554
이용건수_신판_R3M,0.03875802571519726,0.015576203036557252,0.04176853675796202
이용건수_일시불_B0M,0.03843477638785809,0.01516715472014993,0.041319888901741736
이용금액_할부_B0M,0.03231337605015858,0.02386389012546904,0.03873147304086098
이용건수_일시불_R3M,0.038312819559669115,0.015148251854217195,0.04119927699459932
이용건수_일시불_R6M,0.03821865395869622,0.015281151361226588,0.04115914227826829
이용개월수_할부_무이자_R6M,0.03163336408445052,0.024460877749640935,0.03831131611513794
이용건수_온라인_B0M,0.03470794106118061,0.019346256073026022,0.03934317274521883
이용개월수_할부_무이자_R3M,0.030789356357904352,0.02416660599788926,0.03741788980918985
_3순위교통업종_이용금액,0.03924414207557681,0.01187911151370757,0.04089391813557923
이용개월수_할부_무이자_R12M,0.03131155443545801,0.02124974245244789,0.03685726863308108
이용건수_할부_R3M,0.029642654556202266,0.02316637157238735,0.0359883231549094
이용건수_할부_B0M,0.029319102851747377,0.023247668792909473,0.03571556609211055
이용건수_CA_R12M,0.031547348581007766,0.0184744174664298,0.03608020354701332
교통_정비이용금액,0.03612879821578317,0.010897007835879229,0.03763356236857137
교통_주유이용금액,0.035084867020082816,0.01212562614498526,0.037100699654801256
쇼핑_기타_이용금액,0.03187172117161134,0.01658800995746606,0.03570518062130437
_1순위카드이용건수,0.03382492399239411,0.013780492769170052,0.036519380370122714
_1순위교통업종_이용금액,0.03500068609207201,0.011910239008188684,0.03694474987999249
이용개월수_할부_R6M,0.02814283997890952,0.02163301919473766,0.03403766139305879
이용건수_CA_R6M,0.02957768133226526,0.01690633677680266,0.033678558247917136
이용개월수_할부_R12M,0.0278111568637651,0.01918366082376294,0.03284809293948097
이용개월수_할부_R3M,0.026645836571465506,0.020464648333856993,0.03222075504212076
입회경과개월수_신용,0.035590709674624375,0.006037629791587926,0.03538547893123198
입회일자_신용,-0.035607814209950454,-0.005967605109212803,-0.035376283625626156
_2순위교통업종_이용금액,0.03149161691778433,0.010297256976678984,0.03309027226431579
이용개월수_CA_R6M,0.0266397480210397,0.017055169294192984,0.030990103570560854
이용금액대,-0.03025395774793009,-0.011642744752685983,-0.0324185954841577
이용개월수_CA_R12M,0.026410514715357308,0.016914587975123897,0.030725655141163148
이용카드수_신용_가족,0.03273072215519317,0.00771651789425983,0.033319493383968134
소지카드수_유효_신용,0.03199534913305286,0.008213924770240563,0.03281189113352707
이용건수_CA_R3M,0.026819188623274665,0.01556033250161628,0.030620502708237563
승인거절건수_입력오류_R3M,-4.10875984760666e-05,0.052690506788782634,0.018892476461144746
유효카드수_신용_가족,0.031108949865997798,0.008031544668097345,0.031919102267420466
이용가능카드수_신용_가족,0.031190405274463415,0.007815908612100957,0.0319176488914352
이용개월수_CA_R3M,0.025442788878375047,0.015861273751225143,0.029444053298111506
소지카드수_이용가능_신용,0.030490123597505477,0.007975604001764013,0.03132146272968374
쇼핑_편의점_이용금액,0.025956984436947272,0.01387312580182916,0.029209635564530708
연체입금원금_B0M,0.01887812165182946,0.022962559307183543,0.025868724705134526
할부건수_무이자_6M_R12M,0.023174574304026235,0.01660592829433501,0.027594705706780482
이용건수_페이_온라인_R6M,0.02499187748715204,0.014001886349078958,0.02835517769655246
이용건수_CA_B0M,0.0245699916856101,0.014412246392229931,0.02810887374169093
교통_택시이용금액,0.02716865108752207,0.010662520986802185,0.029186948391929635
이용건수_페이_온라인_B0M,0.0240793899080977,0.01488351811944196,0.027820322784279653
이용건수_페이_온라인_R3M,0.024397150855323083,0.014418211100645822,0.027949707088214974
할부건수_6M_R12M,0.022102289920033772,0.015380358490365483,0.026153632423320482
이용카드수_신용,0.027988353235733007,0.0069246723657013926,0.028609016878975473
이용건수_간편결제_R6M,0.023064619491465373,0.012935292345765447,0.026173288124501846
이용가능카드수_신용,0.02769646151550609,0.006033570463423884,0.02801644075536459
이용후경과월_할부_무이자,-0.02193145568904494,-0.013709998982616536,-0.025394063083216855
이용건수_간편결제_R3M,0.022502433510982682,0.012630592977606813,0.025539135226775613
이용건수_간편결제_B0M,0.02215650344153682,0.012337469818586192,0.02511096976598073
유효카드수_신용,0.026997023442554738,0.005328939798128565,0.027110503937798257
잔액_신판ca최대한도소진율_r6m,0.02039643231892505,0.014278636799907917,0.024165751621851996
잔액_신판ca평균한도소진율_r3m,0.019208061394504646,0.01487165175074301,0.023269723825978004
잔액_신판ca최대한도소진율_r3m,0.01928409886758351,0.014731177828139775,0.023290218479320973
여유_공연이용금액,0.022632556733357314,0.009961065267290646,0.0247014603040747
이용후경과월_할부,-0.020280890635781063,-0.012768325236816307,-0.023515288526610688
이용카드수_신용체크,0.023772542831507565,0.007737300701700798,0.024966430071527265
_2순위카드이용금액,0.024855888317998148,0.0059189173466950885,0.02532418475977706
이용후경과월_CA,-0.019861689511280305,-0.012927640893377204,-0.02318129406591635
이용개월수_온라인_R6M,0.02126395196453206,0.010906583989085599,0.023763871791438414
카드론이용건수_누적,0.021180427487733237,0.010647973496555229,0.023593005239450907
잔액_신판ca평균한도소진율_r6m,0.018515628230795406,0.014437777766517215,0.022467602954881972
연체입금원금_B2M,0.014383298693203933,0.020022312348464726,0.02061739410984744
카드론이용월수_누적,0.021334994063833653,0.010045305988503445,0.023520731420953345
연속유실적개월수_기본_24M_카드,0.022015613902952782,0.00858792790741312,0.023632331682084746
신청건수_ATM_CA_R6M,0.021458590527000224,0.008240222667111264,0.02298754566863123
쇼핑_아울렛_이용금액,0.018465407236248982,0.0108157228520444,0.021119388378886227
이용개월수_페이_온라인_R6M,0.0191145981521484,0.009518165482830299,0.02125907743606884
가맹점매출금액_B2M,0.024080192490345965,0.0023626628280812604,0.02332253672912298
가맹점매출금액_B1M,0.024023766494377027,0.00225884112969678,0.023232573809937426
방문후경과월_PC_R6M,-0.018795456658980265,-0.008661054777051634,-0.02065328199243054
여유_기타이용금액,0.019150199987697646,0.00805363321913002,0.020766121990468227
카드론이용금액_누적,0.018160770908969708,0.00888567412360803,0.020141641592956373
이용개월수_간편결제_R6M,0.018100587658691852,0.00896543319498629,0.02011412960417802
교통_철도버스이용금액,0.01960469359922816,0.006482047231293695,0.020625649138610865
_2순위납부업종_이용금액,0.01622742919236829,0.010586286594910753,0.01894828544779747
_2순위카드이용건수,0.02002313155578784,0.004560438688150318,0.020325768818068392
이용가능카드수_신용체크,0.018119725034262135,0.00675546687676403,0.019337986072970655
선입금원금_B0M,0.006308692497147251,0.022652542049046237,0.014026486808812159
_1순위납부업종_이용금액,0.01563632885047924,0.009255977362512656,0.017918662654699734
선입금원금_B2M,0.006381391742964383,0.022332358780529218,0.013979299366734822
납부_보험료이용금액,0.014552964987984597,0.010512378339921214,0.017358979893528487
이용여부_3M_해외겸용_신용_본인,0.01740377378104143,0.006337024679949105,0.01851946051722529
홈페이지_금융건수_R6M,0.011324440884539072,0.014777887907618907,0.015878374930218046
연체입금원금_B5M,0.007838845605789997,0.01968235499783816,0.01438741622686414
납부_통신비이용금액,0.014614976388739275,0.010037682413176043,0.01724630382227634
유효카드수_신용체크,0.017072017454457647,0.006532806700708228,0.018280178692387013
신청건수_ATM_CA_B0,0.019889625259526773,0.0023934710950299955,0.01942261403537885
선입금원금_B5M,0.006553515765388761,0.020735827499086035,0.013566332914883905
이용금액_선결제_R6M,0.0052404246224830265,0.022099510984587928,0.012830794056630937
방문월수_PC_R6M,0.015006479258087594,0.00818285035473489,0.016945277081879286
평잔_RV일시불_해외_6M,0.011679127126468543,0.012230918999904666,0.015294314540628596
홈페이지_금융건수_R3M,0.010651545362036535,0.013249846929518763,0.014701372231885427
이용여부_3M_해외겸용_본인,0.015742297976771003,0.005593473482974015,0.016701685262581693
평잔_RV일시불_해외_3M,0.010569763902954797,0.012539922270488653,0.014369982736410268
_3순위납부업종_이용금액,0.012781606583431715,0.008975402687148817,0.015153588694462686
최종이용일자_CA,0.01395810316088942,0.007172796681241895,0.015603948394547299
이용건수_C페이_B0M,0.014510559146734657,0.006128423272584021,0.015744321024211808
평잔_CA_해외_3M,-0.0001662724657523718,0.026703164263964456,0.009438823343350753
이용금액_C페이_B0M,0.014902945388705718,0.0054810708932671965,0.015877946090956566
이용개월수_신용_R12M,0.014550712416357739,0.005798256039630982,0.015663171853463016
이용금액_C페이_R3M,0.014471694589741,0.005828397567376236,0.015600255087533502
이용건수_C페이_R3M,0.014029960183583375,0.006294419849601185,0.015355425253807623
이용개월수_신판_R12M,0.014284276869403685,0.005859893303570207,0.015436656921714602
방문횟수_PC_B0M,0.013190439301973025,0.007390996049885437,0.014965894991157603
이용개월수_일시불_R12M,0.014234267109151632,0.0058873709244360055,0.015399855838087291
이용가능여부_해외겸용_신용_본인,0.014715266263851135,0.005190914258438845,0.0155985396122968
최종카드론_대출이율,0.013037584356999806,0.007544696849314618,0.014878459976125247
상담건수_R6M,0.012146358266949828,0.008782982461875994,0.0144915878773311
포인트_포인트_건별_B0M,0.013369183162215527,0.007010972450275037,0.014996177711946338
포인트_포인트_건별_R3M,0.013413872276079234,0.006839110444572055,0.014976138210124008
잔액_신판최대한도소진율_r6m,0.011962049671794147,0.00890362568270042,0.014362920618727041
방문일수_PC_B0M,0.01295868613573384,0.007159155803513036,0.014666306999867948
이용금액_C페이_R6M,0.01369648880042716,0.005848889649356279,0.014884129976777918
할부금액_무이자_12M_R12M,0.013812485131216473,0.005433529348621587,0.014843155509594525
인입횟수_IB_R6M,0.011387693190458976,0.008683347503739969,0.013747740310175132
홈페이지_선결제건수_R6M,0.006912057400716867,0.015024445965924395,0.011848949870069975
인입일수_IB_R6M,0.011508080266745028,0.008322951282673522,0.013730611337675008
홈페이지_선결제건수_R3M,0.007127913346669315,0.014114817194778301,0.011723590395378795
이용메뉴건수_IB_R6M,0.011620254103470349,0.0075425308845645175,0.013554909373612256
이용금액_선결제_R3M,0.00403010648364097,0.018317979841310394,0.010342581599092626
선결제건수_R6M,0.005653045288778947,0.015978510705464747,0.011016712931377933
포인트_적립포인트_R12M,0.011461031064557618,0.007561518617116982,0.013413130950243091
RP건수_통신_B0M,0.012930956694694162,0.0054122516059149865,0.014012793913013657
보유여부_해외겸용_신용_본인,0.013190963705138906,0.004588360887650631,0.01395944420067761
이용건수_C페이_R6M,0.012589411569041354,0.005388572966920096,0.013685527787816745
잔액_신판최대한도소진율_r3m,0.009972060152864814,0.008868612203754324,0.012493114414053767
인입월수_IB_R6M,0.010402205362418846,0.007869251020213443,0.01253550843163566
선결제건수_R3M,0.0050680671993589025,0.015240571159476534,0.010205632519448499
RP건수_B0M,0.012047395181926346,0.005076028067579166,0.01306738009078255
이용개월수_오프라인_R6M,0.01199603947145217,0.004939940569615356,0.012970556625407602
CA이자율_할인전,0.008862680229241299,0.009377897148849738,0.011640724898983426
이용개월수_전체_R6M,0.01209413158667215,0.0046558877766921065,0.012960049034715475
잔액_신판평균한도소진율_r3m,0.008992652281944064,0.008921082991610943,0.011597900075642813
불만제기후경과월_R12M,0.012059681011163087,0.004448840618488138,0.012853508244459603
이용개월수_C페이_R6M,0.011703222245027132,0.004948144412512489,0.012700222340570416
인입일수_ARS_R6M,0.01017374690988552,0.007098361728397881,0.012045323987691205
잔액_신판평균한도소진율_r6m,0.009054428865675009,0.008525396160464436,0.011513391507474274
이용개월수_신용_R6M,0.011778679418791928,0.0046415136007435945,0.012660478002336531
컨택건수_이용유도_청구서_B0M,0.01162520071524373,0.004757997076667301,0.012559089277636725
증감율_이용건수_할부_전월,-0.01067050677111661,-0.006007997983433079,-0.01211719272251582
이용후경과월_신용,-0.011639242077482738,-0.004514396670280822,-0.01248467228876804
최초카드론이용경과월,-0.01011483818223936,-0.0066710442821683175,-0.011836817330741703
이용개월수_일시불_R6M,0.011357622897156274,0.004701073206685033,0.012288911238077347
이용개월수_신판_R6M,0.011368952527165516,0.004679970584946508,0.012291903185489908
이용금액_선결제_B0M,0.0031636457275754544,0.016349884502752397,0.008826823247751078
인입월수_ARS_R6M,0.009497384003675655,0.0071863317481888535,0.011445691112129534
이용개월수_전체_R3M,0.01136519661029388,0.004474185540215051,0.012214462701854457
이용후경과월_신판,-0.011177491543756628,-0.004600186362569205,-0.012084550466170964
최초한도금액,0.013957495939058987,0.0005687920445433135,0.013230672638006818
이용개월수_신용_R3M,0.01114522862578381,0.004373843716178733,0.011973118834832274
최종이용일자_할부,0.010833509525247136,0.004813586339474221,0.01184018843078957
이용개월수_일시불_R3M,0.010812821585826232,0.004451907530361299,0.011690935515217927
이용개월수_신판_R3M,0.01082322236127369,0.004418403378085942,0.011688604913339317
청구서발송여부_B0,0.01094445633455726,0.004211796440712291,0.011727520268926915
할부건수_무이자_12M_R12M,0.013169690144892004,0.0009290707387637929,0.012624867816929064
이용횟수_선결제_R6M,0.0032266734306127965,0.015052343322109118,0.008419461059342144
한도증액금액_R12M,0.011500491788262538,0.0032786749546748744,0.011911204526340596
이용가능여부_해외겸용_본인,0.010923105329392216,0.003676274417441661,0.011515189548397652
IB문의건수_사용승인내역_R6M,0.00991023351090232,0.0047456353069081645,0.010954095528530734
이용개월수_당사기타_R6M,0.006050330756253638,0.01005896703806521,0.00926069971271836
RP건수_전기_B0M,0.007392556927182775,0.007944852284222311,0.009753812366523349
RP유형건수_B0M,0.009510274846925437,0.004899310797224546,0.010636033340727961
최종카드론_대출금액,0.007909952982711825,0.007174834272037049,0.009960035437012703
할부금액_유이자_6M_R12M,0.010342547839138658,0.003676984254078739,0.010973619253241196
인입후경과월_IB_R6M,-0.009277864608796893,-0.00513975128598265,-0.010505514728824389
RP후경과월_통신,-0.00987553408236224,-0.0042414515724565165,-0.010740566256929854
RP후경과월_교통,-0.0107689619531076,-0.002648161435209138,-0.011001946021365004
이용금액_D페이_R6M,0.004916523884351166,0.01084216892655295,0.008483926707275284
RP금액_B0M,0.008045046296132848,0.006304404292166071,0.009773384920185172
청구서발송여부_R3M,0.00973226910908001,0.003903939214803564,0.010485596695375991
보유여부_해외겸용_본인,0.010024494152342842,0.0033076328651934395,0.010544082853917836
이용건수_선결제_R6M,0.0012890879121746947,0.015673454726381143,0.006834297457552071
승인거절건수_기타_R3M,0.008350161004086585,0.00548818341123415,0.009764889169380868
평잔_CA_해외_6M,-0.00029938842207345636,0.017170409624163743,0.0058896280611172745
여유_Pet이용금액,0.009375761271334099,0.0037817717632909714,0.010108980709837097
이용개월수_결제일_R6M,0.011935157140209375,7.512434075395424e-05,0.011165888514775181
이용횟수_선결제_R3M,0.0027694305535046985,0.012940243491484144,0.007233881006803799
포인트_적립포인트_R3M,0.006942517389085164,0.006998766838711396,0.008993884657422388
이용후경과월_일시불,-0.009234625601139126,-0.0035657118430864557,-0.00989963423503265
이용개월수_선결제_R6M,0.0025897256365257472,0.012873580647191539,0.007042214335427935
이용개월수_결제일_R3M,0.011354811648397588,0.00022199542890449304,0.010677029381590831
인입횟수_ARS_R6M,-0.005646220595607805,-0.00816705773524411,-0.008203818397806317
인입횟수_ARS_B0M,0.0065595472654030335,0.006822232347400105,0.008573038656331827
연속무실적개월수_기본_24M_카드,-0.00891530551667434,-0.0034458931099202467,-0.009558568859985715
RP후경과월_전기,-0.006328758896892585,-0.0070849917935468,-0.00845205254049998
방문횟수_앱_B0M,0.0035762960440718617,0.010879879577989793,0.007246661599777381
컨택건수_이용유도_TM_R6M,-0.009532299353719903,-0.0023448241863630102,-0.00973880391243991
승인거절건수_R3M,0.00573608951124662,0.0076930047714252,0.00811737232028029
상환개월수_결제일_R6M,0.010392169840101665,-0.0021932909571475753,0.008910838434710853
RP후경과월_렌탈,-0.008938557616323598,-0.0030576534575952607,-0.009440781634094767
이용건수_D페이_R6M,0.003740816000201247,0.0102679949558896,0.007180365561134219
최종카드론_대출월수,0.007508355318346524,0.004771409626388684,0.008721720039504567
이용횟수_선결제_B0M,0.002569066435530459,0.011733246968680233,0.006613230494917567
방문후경과월_앱_R6M,-0.004754582361771576,-0.008489950682974388,-0.007487676289481635
인입일수_ARS_B0M,0.006340347337905787,0.006100129392160318,0.008109023170073339
방문일수_앱_B0M,0.0031738185983136115,0.010545056085901507,0.006750739110923227
최종카드론이용경과월,-0.006397589430984403,-0.0059281062534914195,-0.008100641277232064
이용금액_D페이_R3M,0.004138991602602439,0.009102112384222613,0.007133094473138197
이용메뉴건수_ARS_B0M,0.006454448626357011,0.005784271289760515,0.00810202957438762
방문일수_앱_R6M,0.0027659788722966907,0.011024426437953197,0.0065423383975303
이용개월수_D페이_R6M,0.0039380552645236905,0.00930760679740471,0.007019394421598096
최종이용일자_카드론,0.0063353496782613235,0.005894917624545196,0.008030629756042889
상환개월수_결제일_R3M,0.009717295320392009,-0.0022135608858177454,0.00827370583372888
IB문의건수_CA_R6M,0.006406008475498277,0.005689354747989235,0.008022719195631023
RV현금서비스이자율_할인전,0.0047139248946713695,0.008079752690391049,0.007302353986764645
RP후경과월,-0.008295250211281456,-0.0028527266100301894,-0.008766765972823554
RP건수_교통_B0M,0.008750935426216036,0.0020976074149493544,0.008920748167337641
청구서발송여부_R6M,0.00787163666866782,0.0032947837469393753,0.008530237782626928
이용건수_D페이_R3M,0.0035125858435984475,0.009490760413276317,0.006688114439156815
